Temperature ( C) , Humidity ( %) , Light ( lx) , Battery ( %) , Solar Panel ( V) , Carbon Monxide ( kOhm) , Nitrogen Dioxide ( kOhm) , Noise ( dB) , UTC
20.10,55.50,4540.80,64.70,0.00,443.07,20.35,70.97,2016-01-21 20:03:37
20.10,55.50,4540.80,64.70,0.00,443.03,20.35,1.00,2016-01-21 20:04:07
20.10,55.50,4540.80,64.80,0.00,439.44,20.25,1.00,2016-01-21 20:04:37
20.10,55.50,4540.80,64.70,0.00,443.05,20.35,1.00,2016-01-21 20:05:07
20.10,55.40,4540.80,64.80,0.00,442.62,20.34,1.00,2016-01-21 20:05:37
20.10,55.40,4540.80,64.70,0.00,443.98,20.44,72.51,2016-01-21 20:06:07
20.10,55.40,4540.80,64.70,0.00,446.61,20.54,1.00,2016-01-21 20:06:37
20.10,55.30,4540.80,64.70,0.00,446.41,20.54,1.00,2016-01-21 20:07:07
20.10,55.30,4540.80,64.70,0.00,446.59,20.64,1.00,2016-01-21 20:07:38
20.10,55.30,4540.80,64.70,0.00,446.60,20.65,1.00,2016-01-21 20:08:08
20.10,55.30,4540.80,64.70,0.00,446.63,20.65,1.00,2016-01-21 20:08:38
20.10,55.30,4540.80,64.70,0.00,443.03,20.55,49.53,2016-01-21 20:09:08
20.10,55.40,4540.80,64.80,0.00,442.96,20.55,1.00,2016-01-21 20:09:38
20.10,55.30,4540.80,64.80,0.00,442.97,20.64,1.00,2016-01-21 20:10:08
20.10,55.30,4540.80,64.70,0.00,443.03,20.65,1.00,2016-01-21 20:10:38
20.10,55.30,4540.80,64.70,0.00,439.46,20.64,1.00,2016-01-21 20:11:08
20.10,55.30,4540.80,64.80,0.00,439.38,20.64,1.00,2016-01-21 20:11:38
20.10,55.40,4540.80,64.70,0.00,439.53,20.65,1.00,2016-01-21 20:12:08
20.10,55.40,4540.80,64.70,0.00,443.01,20.74,1.00,2016-01-21 20:12:38
20.10,55.30,4540.80,64.80,0.00,439.42,20.74,1.00,2016-01-21 20:13:08
20.20,55.30,4540.80,64.70,0.00,435.94,20.74,1.00,2016-01-21 20:13:39
20.20,55.30,4540.80,64.70,0.00,432.60,20.75,1.00,2016-01-21 20:14:09
20.20,55.30,4540.80,64.80,0.00,432.53,20.74,1.00,2016-01-21 20:14:39
20.20,55.30,4540.80,64.70,0.00,432.60,20.75,1.00,2016-01-21 20:15:09
20.20,55.30,4540.80,64.70,0.00,436.05,20.75,1.00,2016-01-21 20:15:39
20.20,55.30,4540.80,64.80,0.00,432.47,20.74,1.00,2016-01-21 20:16:09
20.20,55.30,4540.80,64.80,0.00,435.89,20.74,1.00,2016-01-21 20:16:39
20.20,55.30,4540.80,64.70,0.00,429.53,20.75,1.00,2016-01-21 20:17:09
20.20,55.30,4540.80,64.70,0.00,425.80,20.74,1.00,2016-01-21 20:17:39
20.20,55.30,4540.80,64.70,0.00,432.61,20.85,1.00,2016-01-21 20:18:09
20.20,55.30,4540.80,64.70,0.00,432.57,20.76,1.00,2016-01-21 20:18:39
20.20,55.20,4540.80,64.80,0.00,432.48,20.74,1.00,2016-01-21 20:19:09
20.10,55.30,4540.80,64.80,0.00,432.51,20.74,1.00,2016-01-21 20:19:39
20.10,55.30,4540.80,64.80,0.00,432.52,20.84,1.00,2016-01-21 20:20:10
20.10,55.40,4540.80,64.70,0.00,432.60,20.85,1.00,2016-01-21 20:20:40
20.10,55.40,4540.80,64.70,0.00,429.19,20.84,1.00,2016-01-21 20:21:10
20.10,55.50,4540.80,64.70,0.00,429.19,20.82,71.01,2016-01-21 20:21:40
20.10,55.40,4540.80,64.70,0.00,429.23,20.85,1.00,2016-01-21 20:22:10
20.10,55.40,4540.80,64.80,0.00,429.11,20.84,1.00,2016-01-21 20:22:40
20.00,55.50,4540.80,64.80,0.00,425.77,20.84,1.00,2016-01-21 20:23:10
20.00,55.60,4540.80,64.30,0.00,415.72,20.85,1.00,2016-01-21 20:23:40
20.00,55.60,4540.80,64.30,0.00,416.05,20.84,1.00,2016-01-21 20:24:10
20.00,55.60,4540.80,64.40,0.00,415.80,20.84,1.00,2016-01-21 20:24:40
20.00,55.60,4540.80,64.30,0.00,416.03,20.84,1.00,2016-01-21 20:25:10
20.00,55.60,4540.80,64.30,0.00,416.05,20.84,1.00,2016-01-21 20:25:40
20.10,55.40,4540.80,64.30,0.00,419.31,20.85,1.00,2016-01-21 20:26:11
20.10,55.50,4540.80,64.30,0.00,422.54,20.88,1.00,2016-01-21 20:26:41
20.10,55.30,4540.80,64.40,0.00,422.47,20.94,1.00,2016-01-21 20:27:11
20.10,55.50,4540.80,64.30,0.00,419.31,20.95,1.00,2016-01-21 20:27:41
20.10,55.40,4540.80,64.40,0.00,422.43,20.94,1.00,2016-01-21 20:28:11
20.10,55.50,4540.80,64.30,0.00,422.54,20.94,1.00,2016-01-21 20:28:41
20.10,55.50,4540.80,64.40,0.00,422.45,20.94,1.00,2016-01-21 20:29:11
20.10,55.60,4540.80,64.40,0.00,422.41,20.97,1.00,2016-01-21 20:29:41
20.10,55.60,4540.80,64.40,0.00,422.48,21.04,1.00,2016-01-21 20:30:11
20.10,55.50,4540.80,64.30,0.00,422.55,21.05,1.00,2016-01-21 20:30:41
20.10,55.50,4540.80,64.30,0.00,420.76,21.04,1.00,2016-01-21 20:31:11
20.10,55.60,4540.80,64.30,0.00,422.52,21.04,1.00,2016-01-21 20:31:41
20.10,55.60,4540.80,64.30,0.00,422.58,21.05,1.00,2016-01-21 20:32:11
20.10,55.50,4540.80,64.30,0.00,422.55,21.05,1.00,2016-01-21 20:32:42
20.10,55.40,4540.80,64.30,0.00,422.56,21.05,1.00,2016-01-21 20:33:12
20.10,55.50,4540.80,64.40,0.00,422.46,21.04,1.00,2016-01-21 20:33:42
20.10,55.50,4540.80,64.40,0.00,420.68,21.04,1.00,2016-01-21 20:34:12
20.10,55.40,4540.80,64.30,0.00,422.54,21.05,1.00,2016-01-21 20:34:42
20.10,55.50,4540.80,64.30,0.00,422.55,21.05,1.00,2016-01-21 20:35:12
20.10,55.50,4540.80,64.40,0.00,422.47,21.04,1.00,2016-01-21 20:35:42
20.10,55.40,4540.80,64.30,0.00,418.38,21.15,1.00,2016-01-21 20:36:12
20.10,55.40,4540.80,64.30,0.00,413.91,21.15,1.00,2016-01-21 20:36:42
20.20,55.30,4540.80,64.40,0.00,415.94,21.14,1.00,2016-01-21 20:37:12
20.20,55.30,4540.80,64.30,0.00,416.06,21.15,1.00,2016-01-21 20:37:42
20.20,55.30,4540.80,64.30,0.00,419.31,21.15,1.00,2016-01-21 20:38:12
20.10,55.50,4540.80,64.30,0.00,416.05,21.15,1.00,2016-01-21 20:38:43
20.10,55.40,4540.80,64.40,0.00,415.19,21.24,1.00,2016-01-21 20:39:13
20.20,55.30,4540.80,64.40,0.00,391.47,21.24,1.00,2016-01-21 20:39:43
20.20,55.30,4540.80,64.40,0.00,406.52,21.32,53.74,2016-01-21 20:40:13
20.20,55.30,4540.80,64.40,0.00,406.53,21.24,1.00,2016-01-21 20:40:43
20.20,55.40,4540.80,64.40,0.00,406.72,21.24,1.00,2016-01-21 20:41:13
20.10,55.50,4540.80,64.30,0.00,409.74,21.25,1.00,2016-01-21 20:41:43
20.00,55.50,4540.80,63.90,0.00,412.82,21.25,1.00,2016-01-21 20:42:13
20.00,55.50,4540.80,64.30,0.00,409.73,21.25,1.00,2016-01-21 20:42:43
20.00,55.50,4540.80,63.90,0.00,409.71,21.25,1.00,2016-01-21 20:43:13
20.00,55.60,4540.80,64.00,0.00,409.60,21.24,1.00,2016-01-21 20:43:43
20.00,55.60,4540.80,64.00,0.00,412.77,21.24,1.00,2016-01-21 20:44:13
19.90,55.60,4540.80,63.90,0.00,412.91,21.35,1.00,2016-01-21 20:44:43
19.90,55.80,4540.80,63.90,0.00,413.02,21.35,1.00,2016-01-21 20:45:14
19.80,55.70,4540.80,63.90,0.00,412.82,21.35,1.00,2016-01-21 20:45:44
19.80,55.80,4540.80,63.90,0.00,416.06,21.35,1.00,2016-01-21 20:46:14
19.80,55.90,4540.80,64.00,0.00,415.91,21.34,1.00,2016-01-21 20:46:44
19.80,55.90,4540.80,64.00,0.00,415.96,21.44,1.00,2016-01-21 20:47:14
19.80,55.90,4540.80,64.00,0.00,415.93,21.42,1.00,2016-01-21 20:47:44
19.90,55.80,4540.80,63.90,0.00,416.03,21.45,1.00,2016-01-21 20:48:14
19.80,55.80,4540.80,63.90,0.00,416.02,21.45,1.00,2016-01-21 20:48:44
19.90,55.70,4540.80,63.90,0.00,416.06,21.46,1.00,2016-01-21 20:49:14
19.90,55.50,4540.80,64.00,0.00,415.97,21.49,1.00,2016-01-21 20:49:44
19.90,55.70,4540.80,63.90,0.00,415.98,21.55,1.00,2016-01-21 20:50:14
19.90,55.60,4540.80,64.00,0.00,415.92,21.55,1.00,2016-01-21 20:50:44
19.90,55.50,4540.80,64.00,0.00,415.90,21.55,1.00,2016-01-21 20:51:14
19.90,55.50,4540.80,63.90,0.00,416.01,21.56,1.00,2016-01-21 20:51:45
19.90,55.40,4540.80,63.90,0.00,415.98,21.55,1.00,2016-01-21 20:52:15
19.90,55.60,4540.80,63.90,0.00,415.99,21.55,1.00,2016-01-21 20:52:45
19.90,55.50,4540.80,63.90,0.00,415.98,21.57,1.00,2016-01-21 20:53:15
19.90,55.50,4540.80,64.00,0.00,415.93,21.65,1.00,2016-01-21 20:53:45
19.90,55.50,4540.80,64.00,0.00,415.97,21.66,1.00,2016-01-21 20:54:15
19.90,55.60,4540.80,64.00,0.00,415.92,21.65,1.00,2016-01-21 20:54:45
19.90,55.60,4540.80,63.90,0.00,415.99,21.66,1.00,2016-01-21 20:55:15
19.80,55.60,4540.80,64.00,0.00,415.97,21.66,1.00,2016-01-21 20:55:45
19.80,55.60,4540.80,63.90,0.00,416.01,21.66,1.00,2016-01-21 20:56:15
19.80,55.60,4540.80,63.90,0.00,416.01,21.66,1.00,2016-01-21 20:56:45
19.80,55.60,4540.80,64.00,0.00,415.92,21.70,1.00,2016-01-21 20:57:15
19.80,55.60,4540.80,63.90,0.00,416.01,21.73,1.00,2016-01-21 20:57:46
19.80,55.60,4540.80,63.90,0.00,415.17,21.78,1.00,2016-01-21 20:58:16
19.80,55.70,4540.80,63.90,0.00,416.03,21.84,1.00,2016-01-21 20:58:46
19.80,55.70,4540.80,63.50,0.00,415.65,21.83,1.00,2016-01-21 20:59:16
19.80,55.70,4540.80,63.50,0.00,415.88,21.83,1.00,2016-01-21 20:59:46
19.70,55.70,4540.80,63.50,0.00,415.82,21.83,1.00,2016-01-21 21:00:16
19.70,55.70,4540.80,63.50,0.00,413.76,21.83,1.00,2016-01-21 21:00:46
19.70,55.70,4540.80,63.50,0.00,412.69,21.83,1.00,2016-01-21 21:01:16
19.70,55.70,4540.80,63.50,0.00,412.77,21.83,1.00,2016-01-21 21:01:46
19.70,55.80,4540.80,63.50,0.00,412.77,21.83,1.00,2016-01-21 21:02:16
19.70,55.80,4540.80,63.50,0.00,412.76,21.84,1.00,2016-01-21 21:02:46
19.70,55.80,4540.80,63.50,0.00,412.73,21.88,1.00,2016-01-21 21:03:16
19.70,55.90,4540.80,63.50,0.00,412.80,21.94,1.00,2016-01-21 21:03:46
19.60,55.90,4540.80,63.50,0.00,409.57,21.85,1.00,2016-01-21 21:04:17
19.50,56.00,4540.80,63.50,0.00,409.56,21.90,1.00,2016-01-21 21:04:47
19.50,56.00,4540.80,63.50,0.00,409.99,21.94,1.00,2016-01-21 21:05:17
19.50,56.20,4540.80,63.50,0.00,409.67,21.94,1.00,2016-01-21 21:05:47
19.40,56.20,4540.80,63.50,0.00,409.61,21.94,1.00,2016-01-21 21:06:17
19.40,56.30,4540.80,63.50,0.00,409.56,21.93,1.00,2016-01-21 21:06:47
19.40,56.30,4540.80,63.50,0.00,409.59,21.93,1.00,2016-01-21 21:07:17
19.40,56.40,4540.80,63.50,0.00,409.56,21.93,1.00,2016-01-21 21:07:47
19.40,56.30,4540.80,63.50,0.00,409.63,21.94,1.00,2016-01-21 21:08:17
19.40,56.50,4540.80,63.50,0.00,409.57,21.93,1.00,2016-01-21 21:08:47
19.40,56.60,4540.80,63.50,0.00,409.52,21.94,1.00,2016-01-21 21:09:17
19.30,56.60,4540.80,63.50,0.00,409.63,21.94,1.00,2016-01-21 21:09:47
19.30,56.50,4540.80,63.50,0.00,409.59,22.04,1.00,2016-01-21 21:10:18
19.30,56.50,4540.80,63.50,0.00,409.52,22.04,1.00,2016-01-21 21:10:48
19.30,56.40,4540.80,63.50,0.00,409.62,22.05,1.00,2016-01-21 21:11:18
19.30,56.60,4540.80,63.50,0.00,409.06,21.97,1.00,2016-01-21 21:11:48
19.30,56.70,4540.80,63.50,0.00,408.77,22.00,1.00,2016-01-21 21:12:18
19.30,56.60,4540.80,63.50,0.00,407.92,21.99,1.00,2016-01-21 21:12:48
19.30,56.60,4540.80,63.50,0.00,408.92,22.03,1.00,2016-01-21 21:13:18
19.30,56.70,4540.80,63.50,0.00,409.54,22.04,1.00,2016-01-21 21:13:48
19.30,56.60,4540.80,63.50,0.00,408.51,22.03,1.00,2016-01-21 21:14:18
19.30,56.60,4540.80,63.50,0.00,407.35,22.03,1.00,2016-01-21 21:14:48
19.20,56.60,4540.80,63.50,0.00,406.43,22.04,1.00,2016-01-21 21:15:18
19.20,56.60,4540.80,63.10,0.00,406.48,22.04,1.00,2016-01-21 21:15:48
19.20,56.70,4540.80,63.10,0.00,406.84,22.04,1.00,2016-01-21 21:16:18
19.20,56.70,4540.80,63.10,0.00,406.47,22.04,1.00,2016-01-21 21:16:49
19.20,56.70,4540.80,63.10,0.00,407.60,22.04,1.00,2016-01-21 21:17:19
19.20,56.60,4540.80,63.10,0.00,406.42,22.03,1.00,2016-01-21 21:17:49
19.20,56.70,4540.80,63.00,0.00,406.53,22.10,1.00,2016-01-21 21:18:19
19.20,56.60,4540.80,63.00,0.00,406.52,22.13,1.00,2016-01-21 21:18:49
19.20,56.70,4540.80,63.00,0.00,406.54,22.15,1.00,2016-01-21 21:19:19
19.20,56.60,4540.80,63.10,0.00,406.47,22.14,1.00,2016-01-21 21:19:49
19.20,56.60,4540.80,63.10,0.00,406.48,22.10,1.00,2016-01-21 21:20:19
19.20,56.70,4540.80,63.10,0.00,406.49,22.11,1.00,2016-01-21 21:20:49
19.20,56.60,4540.80,63.10,0.00,406.42,22.14,1.00,2016-01-21 21:21:19
19.20,56.70,4540.80,63.10,0.00,406.40,22.14,1.00,2016-01-21 21:21:49
19.20,56.70,4540.80,63.00,0.00,406.52,22.15,1.00,2016-01-21 21:22:19
19.20,56.60,4540.80,63.20,0.00,406.32,22.13,1.00,2016-01-21 21:22:49
19.10,56.60,4540.80,63.10,0.00,406.47,22.15,1.00,2016-01-21 21:23:20
19.20,56.60,4540.80,63.00,0.00,406.52,22.15,1.00,2016-01-21 21:23:50
19.10,56.60,4540.80,63.10,0.00,406.48,22.15,1.00,2016-01-21 21:24:20
19.10,56.60,4540.80,63.10,0.00,406.47,22.15,1.00,2016-01-21 21:24:50
19.10,56.60,4540.80,63.10,0.00,406.44,22.17,1.00,2016-01-21 21:25:20
19.10,56.60,4540.80,63.00,0.00,406.49,22.23,1.00,2016-01-21 21:25:50
19.10,56.70,4540.80,63.00,0.00,406.54,22.15,1.00,2016-01-21 21:26:20
19.10,56.60,4540.80,63.00,0.00,406.51,22.25,1.00,2016-01-21 21:26:50
19.10,56.70,4540.80,63.10,0.00,406.49,22.25,1.00,2016-01-21 21:27:20
19.10,56.70,4540.80,63.10,0.00,406.42,22.25,1.00,2016-01-21 21:27:50
19.10,56.60,4540.80,63.10,0.00,406.40,22.25,1.00,2016-01-21 21:28:20
19.10,56.70,4540.80,63.10,0.00,406.42,22.25,1.00,2016-01-21 21:28:50
19.10,56.60,4540.80,63.10,0.00,406.44,22.25,1.00,2016-01-21 21:29:21
19.10,56.70,4540.80,63.00,0.00,406.52,22.26,1.00,2016-01-21 21:29:51
19.10,56.60,4540.80,63.10,0.00,403.37,22.25,1.00,2016-01-21 21:30:21
19.10,56.60,4540.80,63.00,0.00,406.52,22.26,1.00,2016-01-21 21:30:51
19.10,56.70,4540.80,62.70,0.00,406.42,22.25,1.00,2016-01-21 21:31:21
19.10,56.70,4540.80,62.70,0.00,403.41,22.25,1.00,2016-01-21 21:31:51
19.10,56.70,4540.80,62.60,0.00,406.53,22.26,1.00,2016-01-21 21:32:21
19.10,56.70,4540.80,62.70,0.00,406.48,22.25,1.00,2016-01-21 21:32:51
19.00,56.70,4540.80,62.70,0.00,403.40,22.25,1.00,2016-01-21 21:33:21
19.00,56.70,4540.80,62.60,0.00,406.49,22.36,1.00,2016-01-21 21:33:51
19.00,56.80,4540.80,62.60,0.00,403.44,22.36,1.00,2016-01-21 21:34:21
19.00,56.70,4540.80,62.70,0.00,403.33,22.35,1.00,2016-01-21 21:34:51
19.00,56.70,4540.80,62.70,0.00,406.37,22.35,1.00,2016-01-21 21:35:21
19.00,56.80,4540.80,62.60,0.00,406.51,22.36,1.00,2016-01-21 21:35:52
19.00,56.80,4540.80,62.70,0.00,406.21,22.36,1.00,2016-01-21 21:36:22
19.00,56.70,4540.80,62.70,0.00,406.44,22.36,1.00,2016-01-21 21:36:52
19.00,56.70,4540.80,62.60,0.00,403.48,22.37,1.00,2016-01-21 21:37:22
19.00,56.80,4540.80,62.70,0.00,403.40,22.36,1.00,2016-01-21 21:37:52
19.00,56.90,4540.80,62.70,0.00,406.35,22.35,1.00,2016-01-21 21:38:22
19.00,56.90,4540.80,62.80,0.00,406.34,22.35,1.00,2016-01-21 21:38:52
19.00,56.80,4540.80,62.60,0.00,404.30,22.36,1.00,2016-01-21 21:39:22
19.00,56.80,4540.80,62.70,0.00,403.41,22.37,1.00,2016-01-21 21:39:52
19.00,56.80,4540.80,62.60,0.00,403.42,22.39,1.00,2016-01-21 21:40:22
18.90,56.80,4540.80,62.70,0.00,403.35,22.40,1.00,2016-01-21 21:40:52
18.90,56.90,4540.80,62.60,0.00,403.42,22.36,1.00,2016-01-21 21:41:22
18.90,56.90,4540.80,62.70,0.00,403.30,22.38,1.00,2016-01-21 21:41:53
18.90,57.00,4540.80,62.70,0.00,406.44,22.47,1.00,2016-01-21 21:42:23
18.90,56.90,4540.80,62.70,0.00,404.67,22.46,1.00,2016-01-21 21:42:53
18.90,56.90,4540.80,62.30,0.00,403.36,22.46,1.00,2016-01-21 21:43:23
18.90,56.80,4540.80,62.20,0.00,403.42,22.47,1.00,2016-01-21 21:43:53
18.90,56.90,4540.80,62.30,0.00,403.35,22.46,1.00,2016-01-21 21:44:23
18.90,57.00,4540.80,62.20,0.00,405.99,22.47,1.00,2016-01-21 21:44:53
18.90,57.00,4540.80,62.30,0.00,406.35,22.46,1.00,2016-01-21 21:45:23
18.90,57.00,4540.80,62.30,0.00,406.45,22.53,1.00,2016-01-21 21:45:53
18.90,57.10,4540.80,62.20,0.00,403.68,22.61,1.00,2016-01-21 21:46:23
18.90,57.00,4540.80,62.20,0.00,405.93,22.63,1.00,2016-01-21 21:46:53
18.90,57.10,4540.80,62.30,0.00,406.45,22.62,1.00,2016-01-21 21:47:23
18.90,57.00,4540.80,62.30,0.00,406.40,22.62,1.00,2016-01-21 21:47:53
18.90,57.10,4540.80,62.20,0.00,406.49,22.62,1.00,2016-01-21 21:48:24
18.90,56.90,4540.80,62.30,0.00,406.39,22.62,1.00,2016-01-21 21:48:54
18.90,57.10,4540.80,62.30,0.00,406.31,22.61,1.00,2016-01-21 21:49:24
18.90,57.00,4540.80,62.30,0.00,406.40,22.62,1.00,2016-01-21 21:49:54
18.80,57.00,4540.80,62.20,0.00,406.51,22.73,1.00,2016-01-21 21:50:24
18.80,57.00,4540.80,62.30,0.00,403.39,22.70,1.00,2016-01-21 21:50:54
18.80,57.00,4540.80,62.30,0.00,406.47,22.73,1.00,2016-01-21 21:51:24
18.80,57.00,4540.80,62.20,0.00,406.48,22.73,1.00,2016-01-21 21:51:54
18.80,57.00,4540.80,62.30,0.00,406.45,22.73,1.00,2016-01-21 21:52:24
18.80,57.10,4540.80,62.30,0.00,406.34,22.72,1.00,2016-01-21 21:52:54
18.80,57.10,4540.80,62.20,0.00,406.53,22.74,1.00,2016-01-21 21:53:24
18.80,57.10,4540.80,62.30,0.00,406.40,22.73,1.00,2016-01-21 21:53:54
18.80,57.00,4540.80,62.20,0.00,404.60,22.73,1.00,2016-01-21 21:54:25
18.80,57.10,4540.80,61.80,0.00,406.45,22.73,1.00,2016-01-21 21:54:55
18.80,57.10,4540.80,61.90,0.00,406.35,22.79,1.00,2016-01-21 21:55:25
18.80,57.10,4540.80,61.90,0.00,406.42,22.78,1.00,2016-01-21 21:55:55
18.80,57.00,4540.80,61.90,0.00,406.33,22.74,1.00,2016-01-21 21:56:25
18.80,57.10,4540.80,61.80,0.00,406.48,22.84,1.00,2016-01-21 21:56:55
18.80,57.20,4540.80,61.90,0.00,403.64,22.80,1.00,2016-01-21 21:57:25
18.80,57.10,4540.80,61.90,0.00,406.29,22.83,1.00,2016-01-21 21:57:55
18.80,57.10,4540.80,61.90,0.00,403.82,22.84,1.00,2016-01-21 21:58:25
18.70,57.10,4540.80,61.90,0.00,406.39,22.83,1.00,2016-01-21 21:58:55
18.80,57.10,4540.80,61.90,0.00,406.39,22.83,1.00,2016-01-21 21:59:25
18.80,57.00,4540.80,61.80,0.00,406.47,22.84,1.00,2016-01-21 21:59:55
18.70,57.10,4540.80,61.90,0.00,406.27,22.83,1.00,2016-01-21 22:00:25
18.80,57.20,4540.80,61.80,0.00,404.95,22.85,1.00,2016-01-21 22:00:56
18.70,57.20,4540.80,61.90,0.00,406.15,22.84,1.00,2016-01-21 22:01:26
18.70,57.20,4540.80,61.90,0.00,406.43,22.84,1.00,2016-01-21 22:01:56
18.70,57.20,4540.80,61.90,0.00,406.34,22.93,1.00,2016-01-21 22:02:26
18.70,57.10,4540.80,61.80,0.00,406.45,22.95,1.00,2016-01-21 22:02:56
18.70,57.20,4540.80,61.80,0.00,406.49,22.95,1.00,2016-01-21 22:03:26
18.70,57.20,4540.80,61.90,0.00,403.32,22.94,1.00,2016-01-21 22:03:56
18.70,57.20,4540.80,61.40,0.00,403.75,22.96,1.00,2016-01-21 22:04:26
18.70,57.30,4540.80,61.40,0.00,406.45,22.95,1.00,2016-01-21 22:04:56
18.70,57.20,4540.80,61.40,0.00,406.39,22.96,1.00,2016-01-21 22:05:26
18.70,57.20,4540.80,61.50,0.00,403.62,22.94,1.00,2016-01-21 22:05:56
18.70,57.20,4540.80,61.50,0.00,406.38,22.94,1.00,2016-01-21 22:06:26
18.70,57.30,4540.80,61.50,0.00,406.40,22.95,1.00,2016-01-21 22:06:56
18.70,57.30,4540.80,61.40,0.00,406.48,23.06,1.00,2016-01-21 22:07:27
18.60,57.30,4540.80,61.50,0.00,406.40,23.06,1.00,2016-01-21 22:07:57
18.60,57.40,4540.80,61.50,0.00,406.33,23.05,1.00,2016-01-21 22:08:27
18.60,57.40,4540.80,61.50,0.00,406.40,23.06,1.00,2016-01-21 22:08:57
18.70,57.30,4540.80,61.50,0.00,406.29,23.04,1.00,2016-01-21 22:09:27
18.60,57.40,4540.80,61.50,0.00,406.42,23.01,1.00,2016-01-21 22:09:57
18.60,57.50,4540.80,61.50,0.00,406.39,23.05,1.00,2016-01-21 22:10:27
18.60,57.30,4540.80,61.50,0.00,406.34,23.05,1.00,2016-01-21 22:10:57
18.60,57.30,4540.80,61.50,0.00,406.26,23.06,1.00,2016-01-21 22:11:27
18.60,57.20,4540.80,61.50,0.00,406.42,23.06,1.00,2016-01-21 22:11:57
18.60,57.30,4540.80,61.50,0.00,403.82,23.12,1.00,2016-01-21 22:12:27
18.50,57.40,4540.80,61.00,0.00,406.42,23.17,1.00,2016-01-21 22:12:57
18.60,57.50,4540.80,61.50,0.00,406.27,23.05,1.00,2016-01-21 22:13:28
18.60,57.50,4540.80,61.00,0.00,405.75,23.05,1.00,2016-01-21 22:13:58
18.60,57.40,4540.80,61.00,0.00,406.42,23.12,1.00,2016-01-21 22:14:28
18.60,57.40,4540.80,61.00,0.00,403.35,23.06,1.00,2016-01-21 22:14:58
18.50,57.40,4540.80,61.00,0.00,406.38,23.17,1.00,2016-01-21 22:15:28
18.50,57.50,4540.80,61.00,0.00,406.38,23.17,1.00,2016-01-21 22:15:58
18.60,57.30,4540.80,61.00,0.00,406.32,23.16,1.00,2016-01-21 22:16:28
18.50,57.50,4540.80,61.00,0.00,406.29,23.16,1.00,2016-01-21 22:16:58
18.50,57.50,4540.80,61.00,0.00,403.41,23.06,1.00,2016-01-21 22:17:28
18.50,57.40,4540.80,61.00,0.00,403.83,23.17,1.00,2016-01-21 22:17:58
18.50,57.50,4540.80,61.00,0.00,403.40,23.16,1.00,2016-01-21 22:18:28
18.50,57.40,4540.80,61.00,0.00,403.33,23.17,1.00,2016-01-21 22:18:58
18.60,57.50,4540.80,61.00,0.00,406.29,23.16,1.00,2016-01-21 22:19:28
18.50,57.40,4540.80,61.00,0.00,403.59,23.17,1.00,2016-01-21 22:19:59
18.50,57.40,4540.80,61.00,0.00,403.30,23.17,1.00,2016-01-21 22:20:29
18.50,57.40,4540.80,61.00,0.00,403.36,23.17,1.00,2016-01-21 22:20:59
18.50,57.50,4540.80,61.00,0.00,406.42,23.18,1.00,2016-01-21 22:21:29
18.50,57.60,4540.80,60.50,0.00,403.37,23.17,1.00,2016-01-21 22:21:59
18.50,57.40,4540.80,60.50,0.00,403.41,23.17,1.00,2016-01-21 22:22:29
18.60,57.50,4540.80,60.60,0.00,407.56,23.18,1.00,2016-01-21 22:22:59
18.60,57.30,4540.80,60.60,0.00,406.34,23.29,1.00,2016-01-21 22:23:29
18.50,57.30,4540.80,60.60,0.00,403.86,23.29,1.00,2016-01-21 22:23:59
18.50,57.30,4540.80,60.50,0.00,403.41,23.30,1.00,2016-01-21 22:24:29
18.50,57.40,4540.80,60.60,0.00,406.39,23.30,1.00,2016-01-21 22:24:59
18.60,57.40,4540.80,60.60,0.00,406.37,23.29,1.00,2016-01-21 22:25:29
18.60,57.20,4540.80,60.50,0.00,406.40,23.30,1.00,2016-01-21 22:26:00
18.70,57.10,4540.80,60.60,0.00,404.69,23.29,1.00,2016-01-21 22:26:30
18.60,57.00,4540.80,60.60,0.00,406.35,23.41,1.00,2016-01-21 22:27:00
18.50,57.30,4540.80,60.50,0.00,406.14,23.41,1.00,2016-01-21 22:27:30
18.50,57.40,4540.80,60.50,0.00,403.36,23.41,1.00,2016-01-21 22:28:00
18.50,57.40,4540.80,60.60,0.00,403.22,23.29,1.00,2016-01-21 22:28:30
18.50,57.50,4540.80,60.50,0.00,406.52,23.41,1.00,2016-01-21 22:29:00
18.60,57.40,4540.80,60.50,0.00,406.43,23.41,1.00,2016-01-21 22:29:30
18.60,57.10,4540.80,60.20,0.00,403.24,23.40,1.00,2016-01-21 22:30:00
18.60,57.20,4540.80,60.20,0.00,406.28,23.40,1.00,2016-01-21 22:30:30
18.60,57.10,4540.80,60.10,0.00,404.09,23.41,1.00,2016-01-21 22:31:00
18.60,57.30,4540.80,60.20,0.00,406.38,23.41,1.00,2016-01-21 22:31:30
18.50,57.20,4540.80,60.20,0.00,403.30,23.41,1.00,2016-01-21 22:32:00
18.50,57.30,4540.80,60.20,0.00,406.37,23.41,1.00,2016-01-21 22:32:31
18.50,57.30,4540.80,60.20,0.00,406.34,23.40,1.00,2016-01-21 22:33:01
18.60,57.20,4540.80,60.20,0.00,403.29,23.41,1.00,2016-01-21 22:33:31
18.50,57.30,4540.80,60.20,0.00,406.34,23.48,1.00,2016-01-21 22:34:01
18.50,57.30,4540.80,60.20,0.00,403.29,23.41,1.00,2016-01-21 22:34:31
